[2026-07-03 10:31:08] [NodeB] [main] [INFO] Starting NodeB on port 7002
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:08] [NodeB] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:30] [NodeB] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:58150
[2026-07-03 10:31:30] [NodeB] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:58156
[2026-07-03 10:31:31] [NodeB] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:58164
[2026-07-03 10:31:31] [NodeB] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:58166
[2026-07-03 10:31:31] [NodeB] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:58174
[2026-07-03 10:31:32] [NodeB] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:58182
[2026-07-03 10:31:32] [NodeB] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:58192
[2026-07-03 10:31:33] [NodeB] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:58204
[2026-07-03 10:31:33] [NodeB] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:58218
[2026-07-03 10:31:33] [NodeB] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:58232
[2026-07-03 10:31:33] [NodeB] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:58248
[2026-07-03 10:31:34] [NodeB] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:47312
[2026-07-03 10:31:34] [NodeB] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:47320
[2026-07-03 10:31:35] [NodeB] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:47324
[2026-07-03 10:31:35] [NodeB] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:47328
[2026-07-03 10:31:35] [NodeB] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:47334
