[2026-07-03 10:31:08] [NodeC] [main] [INFO] Starting NodeC on port 7003
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
[2026-07-03 10:31:08] [NodeC] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:30] [NodeC] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:52870
[2026-07-03 10:31:30] [NodeC] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:52884
[2026-07-03 10:31:31] [NodeC] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:52898
[2026-07-03 10:31:31] [NodeC] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:52904
[2026-07-03 10:31:31] [NodeC] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:52914
[2026-07-03 10:31:32] [NodeC] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:52930
[2026-07-03 10:31:32] [NodeC] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:52946
[2026-07-03 10:31:33] [NodeC] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:52954
[2026-07-03 10:31:33] [NodeC] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:52960
[2026-07-03 10:31:33] [NodeC] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:52974
[2026-07-03 10:31:33] [NodeC] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:52986
[2026-07-03 10:31:34] [NodeC] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:33462
[2026-07-03 10:31:34] [NodeC] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:33468
[2026-07-03 10:31:35] [NodeC] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:33478
[2026-07-03 10:31:35] [NodeC] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:33484
[2026-07-03 10:31:35] [NodeC] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:33486
[2026-07-03 10:31:36] [NodeC] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:33496
[2026-07-03 10:31:36] [NodeC] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:33512
[2026-07-03 10:31:37] [NodeC] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:33520
[2026-07-03 10:31:37] [NodeC] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:33526
[2026-07-03 10:31:37] [NodeC] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:33540
[2026-07-03 10:31:38] [NodeC] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:33556
[2026-07-03 10:31:38] [NodeC] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:33570
[2026-07-03 10:31:39] [NodeC] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:33572
[2026-07-03 10:31:39] [NodeC] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:33578
[2026-07-03 10:31:39] [NodeC] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:33580
[2026-07-03 10:31:40] [NodeC] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:33584
[2026-07-03 10:31:40] [NodeC] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:33594
[2026-07-03 10:31:41] [NodeC] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:33600
[2026-07-03 10:31:41] [NodeC] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:33616
[2026-07-03 10:31:41] [NodeC] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:33630
[2026-07-03 10:31:42] [NodeC] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:33638
[2026-07-03 10:31:42] [NodeC] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:33640
[2026-07-03 10:31:43] [NodeC] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:33644
[2026-07-03 10:31:43] [NodeC] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:33660
[2026-07-03 10:31:43] [NodeC] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:33672
[2026-07-03 10:31:44] [NodeC] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:59342
[2026-07-03 10:31:44] [NodeC] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:59356
[2026-07-03 10:31:45] [NodeC] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:59370
[2026-07-03 10:31:45] [NodeC] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:59378
[2026-07-03 10:31:45] [NodeC] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:59394
[2026-07-03 10:31:46] [NodeC] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:59410
[2026-07-03 10:31:46] [NodeC] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:59416
[2026-07-03 10:31:47] [NodeC] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:59424
[2026-07-03 10:31:47] [NodeC] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:59436
[2026-07-03 10:31:47] [NodeC] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:59450
[2026-07-03 10:31:48] [NodeC] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:59460
[2026-07-03 10:31:48] [NodeC] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:59462
[2026-07-03 10:31:49] [NodeC] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:59464
[2026-07-03 10:31:49] [NodeC] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:59474
[2026-07-03 10:31:50] [NodeC] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:59478
[2026-07-03 10:31:50] [NodeC] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:59488
[2026-07-03 10:31:51] [NodeC] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:59500
[2026-07-03 10:31:51] [NodeC] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:59514
[2026-07-03 10:31:52] [NodeC] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:59530
[2026-07-03 10:31:52] [NodeC] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:59542
[2026-07-03 10:31:53] [NodeC] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:59554
[2026-07-03 10:31:53] [NodeC] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:59560
[2026-07-03 10:31:54] [NodeC] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:38326
[2026-07-03 10:31:54] [NodeC] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:38328
[2026-07-03 10:31:55] [NodeC] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:38342
[2026-07-03 10:31:55] [NodeC] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:38346
[2026-07-03 10:31:56] [NodeC] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:38352
[2026-07-03 10:31:56] [NodeC] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:38358
[2026-07-03 10:31:57] [NodeC] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:38366
[2026-07-03 10:31:57] [NodeC] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:38372
[2026-07-03 10:31:58] [NodeC] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:38374
[2026-07-03 10:31:58] [NodeC] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:38388
[2026-07-03 10:31:59] [NodeC] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:38404
[2026-07-03 10:31:59] [NodeC] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:38412
[2026-07-03 10:32:00] [NodeC] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:38420
[2026-07-03 10:32:00] [NodeC] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:38426
[2026-07-03 10:32:01] [NodeC] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:38436
[2026-07-03 10:32:01] [NodeC] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:38446
[2026-07-03 10:32:02] [NodeC] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:38456
[2026-07-03 10:32:02] [NodeC] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:38462
[2026-07-03 10:32:03] [NodeC] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:38478
[2026-07-03 10:32:03] [NodeC] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:38488
[2026-07-03 10:32:04] [NodeC] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:53060
[2026-07-03 10:32:04] [NodeC] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:53074
[2026-07-03 10:32:05] [NodeC] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:53078
[2026-07-03 10:32:05] [NodeC] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:53088
[2026-07-03 10:32:06] [NodeC] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:53100
[2026-07-03 10:32:06] [NodeC] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:53106
[2026-07-03 10:32:07] [NodeC] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:53116
[2026-07-03 10:32:07] [NodeC] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:53122
[2026-07-03 10:32:08] [NodeC] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:53134
[2026-07-03 10:32:08] [NodeC] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:53144
[2026-07-03 10:32:09] [NodeC] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:53158
[2026-07-03 10:32:09] [NodeC] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:53160
[2026-07-03 10:32:10] [NodeC] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:53176
[2026-07-03 10:32:10] [NodeC] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:53186
[2026-07-03 10:32:11] [NodeC] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:53198
[2026-07-03 10:32:11] [NodeC] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:53202
[2026-07-03 10:32:12] [NodeC] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:53206
[2026-07-03 10:32:12] [NodeC] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:53214
[2026-07-03 10:32:13] [NodeC] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:53230
[2026-07-03 10:32:13] [NodeC] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:53246
[2026-07-03 10:32:14] [NodeC] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:37006
[2026-07-03 10:32:14] [NodeC] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:37016
[2026-07-03 10:32:15] [NodeC] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:37026
[2026-07-03 10:32:15] [NodeC] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:37032
[2026-07-03 10:32:16] [NodeC] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:37044
[2026-07-03 10:32:16] [NodeC] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:37060
[2026-07-03 10:32:17] [NodeC] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:37076
[2026-07-03 10:32:17] [NodeC] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:37082
[2026-07-03 10:32:18] [NodeC] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:37084
[2026-07-03 10:32:18] [NodeC] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:37088
[2026-07-03 10:32:19] [NodeC] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:37100
[2026-07-03 10:32:19] [NodeC] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:37104
[2026-07-03 10:32:20] [NodeC] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:37108
[2026-07-03 10:32:20] [NodeC] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:37114
[2026-07-03 10:32:21] [NodeC] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:37120
[2026-07-03 10:32:21] [NodeC] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:37132
[2026-07-03 10:32:22] [NodeC] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:37136
[2026-07-03 10:32:22] [NodeC] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:37148
[2026-07-03 10:32:23] [NodeC] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:37160
[2026-07-03 10:32:23] [NodeC] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:37166
