[2026-07-03 10:31:07] [NodeA] [main] [INFO] Starting NodeA on port 7001
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:07] [NodeA] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:30] [NodeA] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:50396
[2026-07-03 10:31:31] [NodeA] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:50410
[2026-07-03 10:31:31] [NodeA] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:50412
[2026-07-03 10:31:31] [NodeA] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:50428
[2026-07-03 10:31:32] [NodeA] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:50432
[2026-07-03 10:31:32] [NodeA] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:50436
[2026-07-03 10:31:33] [NodeA] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:50450
[2026-07-03 10:31:33] [NodeA] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:50466
[2026-07-03 10:31:33] [NodeA] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:50474
[2026-07-03 10:31:33] [NodeA] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:50488
[2026-07-03 10:31:34] [NodeA] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:48326
[2026-07-03 10:31:34] [NodeA] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:48330
[2026-07-03 10:31:35] [NodeA] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:48340
[2026-07-03 10:31:35] [NodeA] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:48356
[2026-07-03 10:31:35] [NodeA] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:48372
[2026-07-03 10:31:36] [NodeA] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:48376
[2026-07-03 10:31:36] [NodeA] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:48382
[2026-07-03 10:31:36] [NodeA] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:48392
[2026-07-03 10:31:36] [NodeA] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:48406
[2026-07-03 10:31:36] [NodeA] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:48414
[2026-07-03 10:31:36] [NodeA] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:48426
[2026-07-03 10:31:37] [NodeA] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:48434
[2026-07-03 10:31:37] [NodeA] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:48442
[2026-07-03 10:31:37] [NodeA] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:48458
[2026-07-03 10:31:38] [NodeA] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:48474
[2026-07-03 10:31:38] [NodeA] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:48482
[2026-07-03 10:31:39] [NodeA] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:48486
[2026-07-03 10:31:39] [NodeA] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:48498
[2026-07-03 10:31:39] [NodeA] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:48500
[2026-07-03 10:31:39] [NodeA] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:48504
[2026-07-03 10:31:40] [NodeA] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:48508
[2026-07-03 10:31:40] [NodeA] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:48510
